TestName,ModelSize,AnalysisInitialization,SequenceFinding,Propagation,Total
CharacteristicsPropagationTest,1,307,397,399,402
CharacteristicsPropagationTest,1,227,290,291,292
CharacteristicsPropagationTest,1,208,313,314,316
CharacteristicsPropagationTest,1,185,259,260,261
CharacteristicsPropagationTest,1,203,271,272,273
CharacteristicsPropagationTest,1,154,216,216,218
CharacteristicsPropagationTest,1,199,257,258,259
CharacteristicsPropagationTest,1,242,299,300,301
CharacteristicsPropagationTest,1,199,289,290,291
CharacteristicsPropagationTest,1,160,228,229,231
CharacteristicsPropagationTest,10,175,244,246,251
CharacteristicsPropagationTest,10,196,285,290,307
CharacteristicsPropagationTest,10,170,253,256,264
CharacteristicsPropagationTest,10,187,248,250,255
CharacteristicsPropagationTest,10,258,319,320,328
CharacteristicsPropagationTest,10,201,342,349,356
CharacteristicsPropagationTest,10,201,272,277,305
CharacteristicsPropagationTest,10,176,237,239,244
CharacteristicsPropagationTest,10,143,206,210,225
CharacteristicsPropagationTest,10,127,207,208,214
CharacteristicsPropagationTest,100,171,267,279,350
CharacteristicsPropagationTest,100,185,269,281,340
CharacteristicsPropagationTest,100,208,300,324,398
CharacteristicsPropagationTest,100,162,241,249,293
CharacteristicsPropagationTest,100,138,211,221,278
CharacteristicsPropagationTest,100,166,234,238,286
CharacteristicsPropagationTest,100,178,254,262,305
CharacteristicsPropagationTest,100,219,310,313,351
CharacteristicsPropagationTest,100,137,238,247,299
CharacteristicsPropagationTest,100,186,272,276,307
CharacteristicsPropagationTest,1000,357,599,751,1064
CharacteristicsPropagationTest,1000,347,564,688,1059
CharacteristicsPropagationTest,1000,300,524,642,1009
CharacteristicsPropagationTest,1000,260,503,619,962
CharacteristicsPropagationTest,1000,249,479,602,975
CharacteristicsPropagationTest,1000,278,580,739,1164
CharacteristicsPropagationTest,1000,274,561,696,1034
CharacteristicsPropagationTest,1000,234,500,634,935
CharacteristicsPropagationTest,1000,213,549,683,972
CharacteristicsPropagationTest,1000,212,494,667,954
CharacteristicsPropagationTest,10000,1405,2623,19396,22222
CharacteristicsPropagationTest,10000,1296,2432,20005,22721
CharacteristicsPropagationTest,10000,1278,7105,23963,26727
CharacteristicsPropagationTest,10000,1194,2507,19371,22227
CharacteristicsPropagationTest,10000,1188,2708,18812,21638
CharacteristicsPropagationTest,10000,1143,2636,19054,21958
CharacteristicsPropagationTest,10000,1149,2841,19125,22039
CharacteristicsPropagationTest,10000,1201,3036,19721,22664
CharacteristicsPropagationTest,10000,1206,3118,19308,22383
CharacteristicsPropagationTest,10000,1174,3196,19822,22860
CharacteristicsPropagationTest,100000,25728,62218,4749436,4785172
CharacteristicsPropagationTest,100000,17257,28328,4456589,4495162
CharacteristicsPropagationTest,100000,18128,31470,4739314,4777350
CharacteristicsPropagationTest,100000,16701,30411,4299299,4344629
CharacteristicsPropagationTest,100000,16890,38637,3800179,3840123
CharacteristicsPropagationTest,100000,14694,30445,4407136,4454405
CharacteristicsPropagationTest,100000,15052,32773,4205312,4246460
CharacteristicsPropagationTest,100000,15326,35323,4247289,4286916
CharacteristicsPropagationTest,100000,17020,37619,4445532,4544550
CharacteristicsPropagationTest,100000,55297,76467,3971874,4012373
