TestName,ModelSize,AnalysisInitialization,SequenceFinding,Propagation,Total
NodeCharacteristicsTest,1,266,342,342,344
NodeCharacteristicsTest,1,220,290,290,292
NodeCharacteristicsTest,1,174,250,251,255
NodeCharacteristicsTest,1,199,279,280,283
NodeCharacteristicsTest,1,242,336,338,341
NodeCharacteristicsTest,1,232,340,341,344
NodeCharacteristicsTest,1,201,273,274,276
NodeCharacteristicsTest,1,187,257,258,261
NodeCharacteristicsTest,1,190,343,373,375
NodeCharacteristicsTest,1,244,338,339,341
NodeCharacteristicsTest,10,177,241,242,247
NodeCharacteristicsTest,10,211,271,272,277
NodeCharacteristicsTest,10,132,187,189,196
NodeCharacteristicsTest,10,181,240,241,244
NodeCharacteristicsTest,10,149,205,206,207
NodeCharacteristicsTest,10,177,249,249,251
NodeCharacteristicsTest,10,221,269,270,271
NodeCharacteristicsTest,10,134,180,181,182
NodeCharacteristicsTest,10,121,169,170,171
NodeCharacteristicsTest,10,175,246,247,248
NodeCharacteristicsTest,100,168,237,238,239
NodeCharacteristicsTest,100,135,237,237,240
NodeCharacteristicsTest,100,193,245,246,247
NodeCharacteristicsTest,100,139,186,187,189
NodeCharacteristicsTest,100,128,187,188,189
NodeCharacteristicsTest,100,144,193,194,195
NodeCharacteristicsTest,100,142,199,204,205
NodeCharacteristicsTest,100,189,239,240,241
NodeCharacteristicsTest,100,130,206,207,208
NodeCharacteristicsTest,100,182,239,240,242
NodeCharacteristicsTest,1000,463,509,509,511
NodeCharacteristicsTest,1000,462,518,519,521
NodeCharacteristicsTest,1000,410,470,471,473
NodeCharacteristicsTest,1000,380,429,430,431
NodeCharacteristicsTest,1000,373,420,421,422
NodeCharacteristicsTest,1000,419,477,479,481
NodeCharacteristicsTest,1000,396,448,449,451
NodeCharacteristicsTest,1000,379,428,428,430
NodeCharacteristicsTest,1000,377,433,433,435
NodeCharacteristicsTest,1000,353,414,415,419
NodeCharacteristicsTest,10000,12678,12741,12747,12749
NodeCharacteristicsTest,10000,12788,12851,12852,12853
NodeCharacteristicsTest,10000,12731,12803,12804,12808
NodeCharacteristicsTest,10000,12756,12845,12847,12848
NodeCharacteristicsTest,10000,12752,12826,12827,12829
NodeCharacteristicsTest,10000,12779,12879,12880,12882
NodeCharacteristicsTest,10000,12744,12835,12836,12837
NodeCharacteristicsTest,10000,12466,12558,12560,12566
NodeCharacteristicsTest,10000,12803,12895,12896,12898
NodeCharacteristicsTest,10000,12727,12821,12822,12823
NodeCharacteristicsTest,100000,1953019,1953210,1953211,1953214
NodeCharacteristicsTest,100000,2157064,2157312,2157313,2157315
NodeCharacteristicsTest,100000,1956226,1956483,1956484,1956486
NodeCharacteristicsTest,100000,1906168,1906539,1906540,1906541
NodeCharacteristicsTest,100000,2071413,2071763,2071764,2071765
NodeCharacteristicsTest,100000,1987385,1987726,1987727,1987728
NodeCharacteristicsTest,100000,1794487,1794942,1794943,1794945
NodeCharacteristicsTest,100000,1803534,1804038,1804039,1804043
NodeCharacteristicsTest,100000,2041786,2042370,2042371,2042374
NodeCharacteristicsTest,100000,1780730,1781281,1781282,1781285
