TestName,ModelSize,AnalysisInitialization,SequenceFinding,Propagation,Total
CharacteristicsPropagationTest,1,1750,2096,2112,2146
CharacteristicsPropagationTest,1,163,227,227,228
CharacteristicsPropagationTest,1,154,195,195,196
CharacteristicsPropagationTest,1,119,161,162,162
CharacteristicsPropagationTest,1,110,154,154,155
CharacteristicsPropagationTest,1,105,141,141,142
CharacteristicsPropagationTest,1,101,137,137,138
CharacteristicsPropagationTest,1,95,132,132,133
CharacteristicsPropagationTest,1,114,157,158,159
CharacteristicsPropagationTest,1,108,145,146,147
NodeCharacteristicsTest,1,98,137,138,139
NodeCharacteristicsTest,1,104,146,146,147
NodeCharacteristicsTest,1,104,159,159,161
NodeCharacteristicsTest,1,116,180,180,181
NodeCharacteristicsTest,1,111,146,146,148
NodeCharacteristicsTest,1,90,120,121,122
NodeCharacteristicsTest,1,99,135,135,136
NodeCharacteristicsTest,1,76,109,109,110
NodeCharacteristicsTest,1,94,141,141,142
NodeCharacteristicsTest,1,81,108,109,110
SEFFParameterTest,1,61,97,97,98
SEFFParameterTest,1,70,93,93,94
SEFFParameterTest,1,57,82,83,84
SEFFParameterTest,1,63,97,98,98
SEFFParameterTest,1,64,90,90,91
SEFFParameterTest,1,77,117,117,118
SEFFParameterTest,1,65,91,91,92
SEFFParameterTest,1,64,96,96,98
SEFFParameterTest,1,81,111,112,112
SEFFParameterTest,1,69,94,95,95
VariableCountTest,1,61,90,90,91
VariableCountTest,1,67,99,99,100
VariableCountTest,1,60,98,98,99
VariableCountTest,1,68,94,95,96
VariableCountTest,1,66,91,91,92
VariableCountTest,1,62,83,83,84
VariableCountTest,1,55,77,77,78
VariableCountTest,1,54,73,73,73
VariableCountTest,1,50,72,72,73
VariableCountTest,1,55,74,74,75
VariableActionsTest,1,51,70,70,72
VariableActionsTest,1,49,80,81,81
VariableActionsTest,1,76,96,96,97
VariableActionsTest,1,50,70,70,71
VariableActionsTest,1,51,73,73,74
VariableActionsTest,1,54,76,76,77
VariableActionsTest,1,52,73,74,74
VariableActionsTest,1,54,75,75,76
VariableActionsTest,1,55,79,79,80
VariableActionsTest,1,53,75,75,76
CharacteristicsPropagationTest,10,60,82,83,87
CharacteristicsPropagationTest,10,52,77,78,83
CharacteristicsPropagationTest,10,56,80,80,84
CharacteristicsPropagationTest,10,53,75,76,80
CharacteristicsPropagationTest,10,50,72,73,77
CharacteristicsPropagationTest,10,56,78,78,83
CharacteristicsPropagationTest,10,57,78,79,83
CharacteristicsPropagationTest,10,57,79,80,85
CharacteristicsPropagationTest,10,53,88,88,92
CharacteristicsPropagationTest,10,55,79,80,83
NodeCharacteristicsTest,10,60,86,86,87
NodeCharacteristicsTest,10,59,85,85,85
NodeCharacteristicsTest,10,58,82,82,83
NodeCharacteristicsTest,10,64,85,85,85
NodeCharacteristicsTest,10,50,71,71,72
NodeCharacteristicsTest,10,50,69,69,70
