TestName,ModelSize,AnalysisInitialization,SequenceFinding,Propagation,Total
CharacteristicsPropagationTest,1,234,234,348,348
CharacteristicsPropagationTest,1,230,230,333,333
CharacteristicsPropagationTest,1,249,249,359,359
CharacteristicsPropagationTest,1,221,221,327,327
CharacteristicsPropagationTest,1,211,212,306,306
CharacteristicsPropagationTest,1,205,206,305,305
CharacteristicsPropagationTest,1,245,246,359,359
CharacteristicsPropagationTest,1,213,213,300,300
CharacteristicsPropagationTest,1,189,190,278,278
CharacteristicsPropagationTest,1,208,208,290,290
CharacteristicsPropagationTest,10,209,209,309,309
CharacteristicsPropagationTest,10,213,213,351,351
CharacteristicsPropagationTest,10,191,191,301,301
CharacteristicsPropagationTest,10,168,169,283,283
CharacteristicsPropagationTest,10,160,160,256,256
CharacteristicsPropagationTest,10,185,185,284,284
CharacteristicsPropagationTest,10,185,185,279,279
CharacteristicsPropagationTest,10,157,157,250,250
CharacteristicsPropagationTest,10,144,145,243,243
CharacteristicsPropagationTest,10,151,151,268,268
CharacteristicsPropagationTest,100,203,204,620,620
CharacteristicsPropagationTest,100,194,194,597,597
CharacteristicsPropagationTest,100,184,184,533,533
CharacteristicsPropagationTest,100,186,186,533,533
CharacteristicsPropagationTest,100,178,179,526,526
CharacteristicsPropagationTest,100,160,160,455,455
CharacteristicsPropagationTest,100,156,157,445,445
CharacteristicsPropagationTest,100,172,172,485,485
CharacteristicsPropagationTest,100,204,204,491,491
CharacteristicsPropagationTest,100,155,155,439,439
CharacteristicsPropagationTest,1000,356,356,2774,2774
CharacteristicsPropagationTest,1000,279,280,2473,2473
CharacteristicsPropagationTest,1000,286,287,2274,2274
CharacteristicsPropagationTest,1000,267,267,2011,2011
CharacteristicsPropagationTest,1000,254,254,2006,2006
CharacteristicsPropagationTest,1000,239,239,2021,2021
CharacteristicsPropagationTest,1000,245,245,1887,1887
CharacteristicsPropagationTest,1000,236,237,2150,2150
CharacteristicsPropagationTest,1000,229,230,1825,1825
CharacteristicsPropagationTest,1000,233,233,1864,1864
CharacteristicsPropagationTest,10000,1518,1518,19614,19614
CharacteristicsPropagationTest,10000,1390,1390,19650,19650
CharacteristicsPropagationTest,10000,1499,1499,19826,19826
CharacteristicsPropagationTest,10000,1275,1276,18682,18682
CharacteristicsPropagationTest,10000,1333,1334,19980,19980
CharacteristicsPropagationTest,10000,1390,1390,19156,19156
CharacteristicsPropagationTest,10000,1313,1313,18751,18752
CharacteristicsPropagationTest,10000,1378,1378,18832,18832
CharacteristicsPropagationTest,10000,1324,1324,19214,19214
CharacteristicsPropagationTest,10000,1273,1273,19330,19330
CharacteristicsPropagationTest,100000,21558,21558,273636,273637
CharacteristicsPropagationTest,100000,15365,15365,266437,266437
CharacteristicsPropagationTest,100000,13605,13605,264397,264397
CharacteristicsPropagationTest,100000,13984,13985,267234,267234
CharacteristicsPropagationTest,100000,14150,14151,266933,266933
CharacteristicsPropagationTest,100000,14479,14480,269646,269647
CharacteristicsPropagationTest,100000,13550,13551,263073,263073
CharacteristicsPropagationTest,100000,14198,14198,258580,258580
CharacteristicsPropagationTest,100000,12390,12390,265532,265532
CharacteristicsPropagationTest,100000,13320,13321,267270,267270
