TestName,ModelSize,AnalysisInitialization,SequenceFinding,Propagation,Total
BranchCountTest,1,46,46,65,88
BranchCountTest,1,39,39,58,81
BranchCountTest,1,39,39,78,103
BranchCountTest,1,55,55,75,98
BranchCountTest,1,40,40,59,82
BranchCountTest,1,54,54,77,109
BranchCountTest,1,41,41,58,82
BranchCountTest,1,41,41,61,83
BranchCountTest,1,37,37,53,76
BranchCountTest,1,38,39,55,78
BranchCountTest,10,59,59,74,94
BranchCountTest,10,59,59,79,99
BranchCountTest,10,55,55,69,88
BranchCountTest,10,56,56,80,101
BranchCountTest,10,72,72,87,107
BranchCountTest,10,57,58,73,92
BranchCountTest,10,53,53,70,89
BranchCountTest,10,56,56,71,89
BranchCountTest,10,54,54,69,88
BranchCountTest,10,55,55,69,89
