TestName,ModelSize,AnalysisInitialization,SequenceFinding,Propagation,Total
CharacteristicsPropagationTest,1,0,0,39,78
CharacteristicsPropagationTest,1,0,0,44,70
CharacteristicsPropagationTest,1,0,0,58,100
CharacteristicsPropagationTest,1,0,0,69,111
CharacteristicsPropagationTest,1,0,0,104,149
CharacteristicsPropagationTest,1,0,0,81,117
CharacteristicsPropagationTest,1,1,1,37,80
CharacteristicsPropagationTest,1,0,0,56,143
CharacteristicsPropagationTest,1,0,0,49,89
CharacteristicsPropagationTest,1,0,0,41,138
CharacteristicsPropagationTest,10,0,0,50,99
CharacteristicsPropagationTest,10,0,0,49,98
CharacteristicsPropagationTest,10,0,0,49,91
CharacteristicsPropagationTest,10,0,0,31,71
CharacteristicsPropagationTest,10,0,0,32,73
CharacteristicsPropagationTest,10,0,0,34,77
CharacteristicsPropagationTest,10,0,0,43,89
CharacteristicsPropagationTest,10,0,0,34,74
CharacteristicsPropagationTest,10,0,0,31,74
CharacteristicsPropagationTest,10,0,0,47,93
CharacteristicsPropagationTest,100,0,0,85,162
CharacteristicsPropagationTest,100,0,0,142,229
CharacteristicsPropagationTest,100,0,0,84,151
CharacteristicsPropagationTest,100,0,0,92,178
CharacteristicsPropagationTest,100,0,0,116,181
CharacteristicsPropagationTest,100,0,0,74,136
CharacteristicsPropagationTest,100,0,0,78,141
CharacteristicsPropagationTest,100,0,0,75,136
CharacteristicsPropagationTest,100,0,0,76,137
CharacteristicsPropagationTest,100,0,0,75,138
