TestName,ModelSize,AnalysisInitialization,SequenceFinding,Propagation,Total
NodeCharacteristicsTest,1,104,104,193,235
NodeCharacteristicsTest,1,102,102,160,215
NodeCharacteristicsTest,1,84,84,144,217
NodeCharacteristicsTest,1,63,63,93,147
NodeCharacteristicsTest,1,171,171,207,246
NodeCharacteristicsTest,1,68,68,100,145
NodeCharacteristicsTest,1,65,65,102,132
NodeCharacteristicsTest,1,68,68,104,130
NodeCharacteristicsTest,1,62,62,92,133
NodeCharacteristicsTest,1,66,66,204,245
NodeCharacteristicsTest,10,56,56,82,124
NodeCharacteristicsTest,10,43,43,68,104
NodeCharacteristicsTest,10,49,49,79,116
NodeCharacteristicsTest,10,41,41,65,103
NodeCharacteristicsTest,10,58,58,81,118
NodeCharacteristicsTest,10,44,44,68,103
NodeCharacteristicsTest,10,38,38,63,100
NodeCharacteristicsTest,10,48,48,72,107
NodeCharacteristicsTest,10,40,40,62,96
NodeCharacteristicsTest,10,42,43,67,103
NodeCharacteristicsTest,100,29,29,94,135
NodeCharacteristicsTest,100,32,32,82,130
NodeCharacteristicsTest,100,36,36,100,142
NodeCharacteristicsTest,100,30,30,78,120
NodeCharacteristicsTest,100,32,32,79,121
NodeCharacteristicsTest,100,30,30,79,121
NodeCharacteristicsTest,100,29,29,74,115
NodeCharacteristicsTest,100,30,30,74,114
NodeCharacteristicsTest,100,32,32,78,124
NodeCharacteristicsTest,100,34,34,88,143
