TestName,ModelSize,AnalysisInitialization,SequenceFinding,Propagation,Total
SEFFParameterTest,1,299,299,401,477
SEFFParameterTest,1,244,245,334,408
SEFFParameterTest,1,258,258,358,429
SEFFParameterTest,1,209,209,285,354
SEFFParameterTest,1,229,229,303,370
SEFFParameterTest,1,201,201,311,381
SEFFParameterTest,1,204,204,282,348
SEFFParameterTest,1,171,171,256,345
SEFFParameterTest,1,192,193,272,344
SEFFParameterTest,1,189,189,245,310
SEFFParameterTest,10,207,208,377,516
SEFFParameterTest,10,178,178,369,524
SEFFParameterTest,10,137,140,272,387
SEFFParameterTest,10,140,140,272,396
SEFFParameterTest,10,132,132,263,372
SEFFParameterTest,10,171,172,313,421
SEFFParameterTest,10,153,153,294,392
SEFFParameterTest,10,119,119,250,357
SEFFParameterTest,10,141,141,301,449
SEFFParameterTest,10,150,150,271,374
SEFFParameterTest,100,133,133,7914,8967
SEFFParameterTest,100,137,137,7264,8320
SEFFParameterTest,100,145,145,8422,9450
SEFFParameterTest,100,144,144,7642,8690
SEFFParameterTest,100,117,118,7512,8555
SEFFParameterTest,100,114,115,7697,8856
SEFFParameterTest,100,239,239,7131,8212
SEFFParameterTest,100,137,137,7202,8258
SEFFParameterTest,100,108,108,7214,8401
SEFFParameterTest,100,114,114,7049,8091
