TestName,ModelSize,AnalysisInitialization,SequenceFinding,Propagation,Total
VariableActionsTest,1,109,110,145,185
VariableActionsTest,1,118,118,166,253
VariableActionsTest,1,104,104,162,218
VariableActionsTest,1,82,82,222,307
VariableActionsTest,1,107,107,182,250
VariableActionsTest,1,119,119,172,294
VariableActionsTest,1,87,87,135,200
VariableActionsTest,1,158,158,202,262
VariableActionsTest,1,87,87,159,243
VariableActionsTest,1,81,81,126,258
VariableActionsTest,10,35,35,58,85
VariableActionsTest,10,35,35,60,88
VariableActionsTest,10,30,30,46,73
VariableActionsTest,10,32,32,55,82
VariableActionsTest,10,33,33,50,77
VariableActionsTest,10,40,41,67,96
VariableActionsTest,10,37,37,63,92
VariableActionsTest,10,39,39,67,96
VariableActionsTest,10,35,35,61,90
VariableActionsTest,10,34,34,51,78
VariableActionsTest,100,27,27,54,80
VariableActionsTest,100,25,25,52,77
VariableActionsTest,100,25,25,51,76
VariableActionsTest,100,24,24,50,75
VariableActionsTest,100,27,27,52,76
VariableActionsTest,100,33,33,63,88
VariableActionsTest,100,27,27,56,82
VariableActionsTest,100,28,28,57,83
VariableActionsTest,100,28,28,57,83
VariableActionsTest,100,28,28,57,83
